id,name
0,Tampopo
1,Goro
2,Gun
3,Man in the white suit
4,Man in white suit's mistress
5,Pisuken
6,Ramen master
7,Tabo
8,Young businessman
9,Hotel waiter
10,Teacher of etiquette
11,Ramen shop owner
12,Bearded ramen shop owner
13,Gambling ramen shop owner
14,Chinatown shop owner
15,Noodle-making master
16,Homeless men
17,Pearl diver
18,Man with toothache
19,Dentist and sexy nurses
20,Child that can't eat sweets
21,Rich old man
22,Old man's mistress
23,Shohei
24,Noodle ramen shop owner
25,Stylists
26,Old woman in supermarket
27,Supermarket manager
28,Con man (Kumada)
29,Con man being conned
30,Detective
31,Running man
32,Dying wife
33,Doctor
34,Builders